question_id,question_text,language,option_a,option_a_correctness,correct_answer,option_b,option_b_correctness,option_c,option_c_correctness
21,"In 1980, roughly 40% of the world's population lived in extreme poverty, with less than $2 per day. What is the share today?",en-US,10%,Correct,10%,30%,Wrong,50%,Very Wrong
14,What share of all plastic waste in the world ends up in the oceans?,en-US,Less than 6%,Correct,Less than 6%,Around 36%,Wrong,More than 66%,Very Wrong
1523,"Roughly what is the minimum wage in these countries with lots of textile factories, India, China, Pakistan, Vietnam, Cambodia, Myanmar and Indonesia?",en-US,Around $0.2 a day,Very Wrong,Around $10 a day,Around $1 a day,Wrong,Around $10 a day,Correct
2,How did the number of deaths per year from natural disasters change over the last hundred years?,en-US,More than doubled,Very Wrong,Decreased to less than half,Remained about the same,Wrong,Decreased to less than half,Correct
31,"Worldwide, how many babies are born with a trained health worker present?",en-US,Less than 30%,Very Wrong,More than 80%,Around 50%,Wrong,More than 80%,Correct
1,What happened to the global suicide rate in the last 20 years?,en-US,Decreased about 25%,Correct,Decreased about 25%,Stayed about the same,Wrong,Increased about 25%,Very Wrong
72,"In 1990, 3% of the world’s population lived in a different country than where they were born. What is that share today?",en-US,4%,Correct,4%,14%,Wrong,24%,Very Wrong
1603,"By 2050, the number of old people (age 65+) will double everywhere, except:",en-US,Low-income countries,Very Wrong,High-income countries,Middle-income countries,Wrong,High-income countries,Correct
1506,"There are 2 billion children in the world today, aged 0-14 years old. How many children will there be in the year 2100 according to the United Nations?",en-US,4 billion,Very Wrong,2 billion,3 billion,Wrong,2 billion,Correct
32,In which countries are people on average least satisfied with their lives?,en-US,Low-income countries,Correct,Low-income countries,Middle-income countries,Wrong,High-income countries,Very Wrong
64,What share of the world’s population used the Internet in 2022?,en-US,Around 60%,Correct,Around 60%,Around 75%,Wrong,Around 95%,Very Wrong
1525,Eighty percent of all men in the world were in the labor force in 2019. What was the number for women?,en-US,52%,Correct,52%,62%,Wrong,72%,Very Wrong
3,"In low-income countries across the world in 2022, what share of girls went to school until at least age 11?",en-US,Around 20%,Very Wrong,Around 60%,Around 40%,Wrong,Around 60%,Correct
35,How many university students worldwide get their degree in their home country (as opposed to abroad)?,en-US,Around 77%,Very Wrong,Around 97%,Around 87%,Wrong,Around 97%,Correct
36,"Of all primary school teachers in low-income countries, how many are trained?",en-US,30%,Very Wrong,70%,50%,Wrong,70%,Correct
39,How many child refugees attended primary school in 2021?,en-US,Less than 20%,Very Wrong,More than 60%,Around 40%,Wrong,More than 60%,Correct
38,"Across the world, how many children go to some form of preschool the year before they start school?",en-US,Around 20%,Very Wrong,Around 60%,Around 40%,Wrong,Around 60%,Correct
1510,"Of all children aged 6 to 11 in the world, how many go to school?",en-US,Less than 25%,Very Wrong,More than 85%,Around 60%,Wrong,More than 85%,Correct
1575,"Of all children in the world who are of primary school age but don't go to school, how many are girls?",en-US,Around 55%,Correct,Around 55%,Around 65%,Wrong,Around 75%,Very Wrong
1579,"Globally, how many primary school teachers are not trained for the job?",en-US,Around 15%,Correct,Around 15%,Around 35%,Wrong,Around 55%,Very Wrong
1561,"In 1950, roughly 50% of all adults had at least some basic education. What is the share today?",en-US,Around 40%,Very Wrong,Around 80%,Around 60%,Wrong,Around 80%,Correct
1612,How many primary schools in Sub-Saharan Africa have some access to electricity?,en-US,Around 10%,Very Wrong,Around 30%,Around 20%,Wrong,Around 30%,Correct
1711,What share of university teachers in the world are women?,en-US,Around 20%,Very Wrong,Around 40%,Around 30%,Wrong,Around 40%,Correct
1509,How many adults in the world say they can read?,en-US,Less than 40%,Very Wrong,More than 80%,Around 60%,Wrong,More than 80%,Correct
1755,"Of all girls aged 6 to 11 in the world, how many go to school?",en-US,Less than 25%,Very Wrong,Around 85%,Around 60%,Wrong,Around 85%,Correct
33,How many of the world's 1-year-old children were vaccinated against some disease in 2022?,en-US,Less than 25%,Very Wrong,More than 85%,Around 55%,Wrong,More than 85%,Correct
34,"Worldwide, there are around 38 million people living with HIV. How many of them got anti-HIV drugs in 2021?",en-US,Less than 15%,Very Wrong,More than 50%,Roughly 30%,Wrong,More than 50%,Correct
1517,Child deaths in Africa today are at the same levels as in Europe in:,en-US,1850,Very Wrong,1950,1900,Wrong,1950,Correct
1573,In what share of all schools in the world do children have soap and water to wash their hands with?,en-US,Around 25%,Very Wrong,Around 55%,Around 55%,Correct,Around 85%,Wrong
120,How many cases of smallpox are expected in the world this year?,en-US,Zero cases,Correct,Zero cases,One hundred thousand cases,Wrong,One million cases,Very Wrong
119,"In 1990, more than 4 million people died from indoor pollution. What has happened to the number who die each year since?",en-US,It decreased more than 30%,Correct,It decreased more than 30%,It stayed about the same,Wrong,It increased more than 30%,Very Wrong
95,"In 1990, around 9% of children worldwide died before age five. What is the number today?",en-US,Around 4%,Correct,Around 4%,Around 9%,Wrong,Around 14%,Very Wrong
96,What happened to the number of new tuberculosis cases worldwide between 2000 and 2017?,en-US,Increased 20%,Very Wrong,Decreased 20%,Stayed about the same,Wrong,Decreased 20%,Correct
94,"The average length of life worldwide is roughly 72, today. What was the global life expectancy a hundred years ago?",en-US,37 years,Correct,37 years,47 years,Wrong,57 years,Very Wrong
1605,How many children in Europe (including Russia and Türkiye) receive the full two doses of the measles vaccine?,en-US,Around 30%,Very Wrong,Around 90%,Around 60%,Wrong,Around 90%,Correct
1548,How many children aged under 5 in Sub-Saharan Africa sleep under a bed net to prevent malaria?,en-US,Around 25%,Very Wrong,Around 50%,Around 35%,Wrong,Around 50%,Correct
113,"What share of the world’s population today live in countries where life expectancy is shorter than 50 years (in 1960, it was around 55%)?",en-US,Less than 1%,Correct,Less than 1%,Around 30%,Wrong,Around 60%,Very Wrong
1641,What is the average life expectancy in Sub-Saharan Africa?,en-US,Around 40 years,Very Wrong,Around 60 years,Around 50 years,Wrong,Around 60 years,Correct
1655,"Worldwide, what share of all deaths are directly caused by illegal drug use?",en-US,Less than 1%,Correct,Less than 1%,Around 10%,Wrong,More than 20%,Very Wrong
1656,"Of all pregnant women in the world, how many give birth without first being examined by an educated midwife, nurse or doctor?",en-US,Around 15%,Correct,Around 15%,Around 35%,Wrong,Around 55%,Very Wrong
1683,What share of all road fatalities globally occur in low- and middle-income countries?,en-US,Around 50%,Very Wrong,Around 90%,Around 70%,Wrong,Around 90%,Correct
1560,How many babies in the world are born in health facilities?,en-US,Around 40%,Very Wrong,Around 80%,Around 60%,Wrong,Around 80%,Correct
1688,What share of adults worldwide used drugs in 2020 (other than alcohol or medicine)?,en-US,Around 5%,Correct,Around 5%,Around 25%,Wrong,Around 50%,Very Wrong
1570,Which of these risk factors leads to more deaths?,en-US,Dirty water,Very Wrong,Polluted air,Polluted air,Correct,Contaminated food,Wrong
1703,How many countries (out of 194) participate in some of the World Health Organization’s programmes for child vaccination?,en-US,64,Very Wrong,194,114,Wrong,194,Correct
1642,"When UNICEF bought child vaccines in 2018, what price did they pay on average, compared to the price paid by high-income countries like Germany and USA?",en-US,More than twice the price,Very Wrong,Less than 20% of the price,Roughly half the price,Wrong,Less than 20% of the price,Correct
1757,"In 1900, around 40% of children worldwide died before they reached age 5. What is that number today?",en-US,Around 4%,Correct,Around 4%,Around 14%,Wrong,Around 24%,Very Wrong
30,The low-income countries of today had a life expectancy of 44 years back in 1970. What is it now?,en-US,40 years,Very Wrong,60 years,50 years,Wrong,60 years,Correct
50,How many people in the world have some access to electricity?,en-US,Around 30%,Very Wrong,Around 90%,Around 60%,Wrong,Around 90%,Correct
1632,"Globally, what share of deaths is caused by overweight and obesity?",en-US,Less than 10%,Correct,Less than 10%,Around 25%,Wrong,Around 40%,Very Wrong
1513,"Between 2005 and 2020, $57 billion was spent on food aid for poor countries. How much was spent researching new crops that could yield more food or survive extreme weather?",en-US,$9 billion,Correct,$9 billion,$39 billion,Wrong,$69 billion,Very Wrong
1604,How many children in Europe (including Russia and Türkiye) are obese today?,en-US,Around 10%,Correct,Around 10%,Around 25%,Wrong,Around 40%,Very Wrong
1511,How much of the food eaten by people in Africa is produced in Africa?,en-US,Less than 20%,Very Wrong,More than 80%,Around 50%,Wrong,More than 80%,Correct
27,How many countries worldwide have holdings of plant genetic materials conserved in genebanks?,en-US,Less than 10,Very Wrong,Around 100,Around 50,Wrong,Around 100,Correct
29,"In 1995, all countries together spent 4,600 million US dollars on agriculture export subsidies. How much was spent in 2019?",en-US,100 million USD,Correct,100 million USD,"1,000 million USD",Wrong,"10,000 million USD",Very Wrong
26,"Worldwide, how many children under age 5 are overweight?",en-US,6%,Correct,6%,26%,Wrong,46%,Very Wrong
28,Which of the following regions has the largest share of children under 5 who are dangerously underweight?,en-US,North Africa & Middle East,Very Wrong,South Asia,South Asia,Correct,Sub-Saharan Africa,Wrong
25,"For every 100kg of food produced in the world, how much is transported to a different country?",en-US,17kg,Correct,17kg,37kg,Wrong,57kg,Very Wrong
118,"In the last 20 years, the proportion of people living in extreme poverty has...",en-US,More than halved,Correct,More than halved,Remained more or less the same,Wrong,Almost doubled,Very Wrong
1686,"Governments sometimes sell land to foreign companies. Since 2009, the total reported number of hectares sold annually worldwide has:",en-US,Dropped to less than half,Correct,Dropped to less than half,Stayed about the same,Wrong,Doubled,Very Wrong
1725,"Globally, a person with less than $2.15 a day is said to be living in extreme poverty. In the 40 richest countries, the national poverty lines are roughly:",en-US,$5 a day,Very Wrong,$20 a day,$10 a day,Wrong,$20 a day,Correct
1556,"Worldwide, how many people living in rural areas have some access to electricity?",en-US,Less than 30%,Very Wrong,More than 70%,About 50%,Wrong,More than 70%,Correct
1640,"Globally, an income of less than $2 a day is considered extreme poverty. In the Nordics (Sweden, Norway, Denmark, Finland, Iceland) national poverty lines are roughly:",en-US,$10 a day,Very Wrong,$30 a day,$20 a day,Wrong,$30 a day,Correct
1528,"How many people worldwide have their basic needs met when it comes to food, water, toilets, electricity, schooling and healthcare?",en-US,Around 25%,Very Wrong,Around 85%,Around 55%,Wrong,Around 85%,Correct
1530,"Of all people in the world living in extreme poverty, with less than $2 a day, how many live in middle-income countries?",en-US,Around 15%,Very Wrong,Around 60%,Around 30%,Wrong,Around 60%,Correct
4,What share of the population in high-income countries (like Germany and the USA) live in extreme poverty (with less than $2/day)?,en-US,Less than 1%,Correct,Less than 1%,Around 11%,Wrong,Around 21%,Very Wrong
24,How many people in the world cook using stoves that don't produce smoke?,en-US,Around 20%,Very Wrong,Around 70%,Around 45%,Wrong,Around 70%,Correct
23,"Of all people aged 65 or older in high-income countries, how many live below the poverty line?",en-US,14%,Correct,14%,29%,Wrong,44%,Very Wrong
22,How many countries (of 195) have some form of social security benefits for people with disabilities?,en-US,46,Very Wrong,186,116,Wrong,186,Correct
1611,What share of the world's population lives in middle-income countries today?,en-US,Around 25%,Very Wrong,Around 75%,Around 50%,Wrong,Around 75%,Correct
1504,What share of the world’s population lives in countries where women on average have less than 3 babies?,en-US,40%,Very Wrong,80%,60%,Wrong,80%,Correct
1762,The UN’s scenarios for stopping global warming rely on technologies to capture and store carbon from the atmosphere. How many of these technologies are already affordable and used today?,en-US,Less than 1%,Correct,Less than 1%,Around 15%,Wrong,Around 30%,Very Wrong
1650,In how many countries is the highest political leader a woman?,en-US,Around 4,Very Wrong,Around 19,Around 12,Wrong,Around 19,Correct
104,Which group of countries sent the most troops on UN peacekeeping missions during the past 5 years?,en-US,"Germany, Sweden, Netherlands, Ireland",Wrong,"Ethiopia, Rwanda, Bangladesh, India, Nepal","Ethiopia, Rwanda, Bangladesh, India, Nepal",Correct,"France, USA, Japan, S Korea, Switzerland, UK",Very Wrong
85,"What happens to the average global temperature if we halve the annual net emissions of CO2, today?",en-US,It decreases,Very Wrong,It keeps increasing,It stays the same,Wrong,It keeps increasing,Correct
58,What happened to the total amount of raw materials used across the world annually since 2000?,en-US,Stayed about the same,Very Wrong,Increased about 70%,Increased about 35%,Wrong,Increased about 70%,Correct
59,During the past 40 years the amount of oil and natural gas remaining in known reserves:,en-US,Reduced to less than half,Very Wrong,More than doubled,Remained about the same,Wrong,More than doubled,Correct
1691,"Of all energy used in the world, what share is electricity?",en-US,Around 20%,Correct,Around 20%,Around 50%,Wrong,Around 80%,Very Wrong
10,How many companies in the world have a woman as top manager or CEO?,en-US,Around 2%,Very Wrong,Around 18%,Around 10%,Wrong,Around 18%,Correct
